address,created,id_user,active,Property_type,Price,Bedrooms,Bathrooms,Car_spaces,new_or_established,Swimming_pool,Garage,Balcony,Outdoor_area,Undercover_parking,Shed,Fully_fenced,Outdoor_spa,Tennis_court,Ensuite,DishWasher,Study,Built_in_robes,Alarm_system,Broadband,Floorboards,Gym,Rumpus_room,Workshop,Air_conditioning,Solar_panels,Heating,High_energy_efficiency,Water_tank,Solar_hot_water,user_id,Updated,plan 
"323 Fowler Outlook
Ryanshire, TAS, 8182",2019-06-09 16:22:10,67cd40fc-dd31-4226-aad9-f10eb717bfce,1,Townhouse,430000,15,19,4,New,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,2019-06-09 16:22:10,
"619 Ford Subway
Grantland, WA, 7993",2019-06-09 16:22:10,b873f2a0-eb1e-45fc-938b-87536bcb4197,1,House,170000,9,5,8,New,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,2019-06-09 16:22:10,
"9 Bowman Bridge
St. Diana, VIC, 9061",2019-06-09 16:22:10,c57e0064-f0ee-48c0-8eae-8bd24794ad1a,1,Retirement Living,530000,2,18,1,New,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,2019-06-09 16:22:10,
"6 /
 4 Cassidy Upper
Laurenborough, TAS, 2635",2019-06-09 16:22:10,4ee16944-5a8e-4796-8bf8-4d2879a59c35,1,Acreage,620000,8,17,5,New,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,2019-06-09 16:22:10,
"1 Victoria Key
Donaldhaven, WA, 2628",2019-06-09 16:22:10,da58b5fc-5f38-465c-b726-b735b2991e72,1,Block Of Units,60000,16,1,7,Established,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,0,0,2019-06-09 16:22:10,
"41 Steven Link
East Rebecca, WA, 2677",2019-06-09 16:22:10,67f7349b-8d9c-4634-9730-cd1f67c30690,1,Retirement Living,95000,8,12,6,New,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,2019-06-09 16:22:10,
"7 Yu Approach
Aliciaport, ACT, 2919",2019-06-09 16:22:10,6d7b3147-a15b-43a6-9a3a-85e03090a60c,1,Apartment_Unit,975000,18,5,3,New,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,2019-06-09 16:22:10,
"392 Rice Gardens
Lyonsstad, NSW, 2541",2019-06-09 16:22:10,19725fd7-1857-4231-b4fe-71350797f0d3,1,House,115000,4,3,7,New,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,2019-06-09 16:22:10,
"69 /
 121 Sherry Sound
Coleton, WA, 2478",2019-06-09 16:22:10,4150bb83-4f71-49ca-8862-22214c526ac0,1,Acreage,225000,16,1,2,New,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,2019-06-09 16:22:10,
"Unit 33
 126 Tonya Bypass
West Thomas, SA, 2637",2019-06-09 16:22:10,0c10a795-07ee-407b-bb0e-9d379a9727c8,1,Retirement Living,85000,11,11,4,Established,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,2019-06-09 16:22:10,
"3 /
 23 Jennifer Steps
Laraland, ACT, 2658",2019-06-09 16:22:10,82f26f2a-509f-4266-81b3-3b799dca9349,1,Land,680000,1,1,7,Established,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,2019-06-09 16:22:10,
"6 /
 3 Angela Riviera
Amandashire, QLD, 2926",2019-06-09 16:22:10,10a110e4-9c81-4278-968c-2eb80624033e,1,Land,110000,18,3,3,Established,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,1,0,2019-06-09 16:22:10,
"3 Price Avenue
New Susanfurt, SA, 1290",2019-06-09 16:22:10,526d1aa9-7187-4934-83b9-89cbca2f6300,1,Townhouse,985000,19,2,9,New,1,1,0,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,2019-06-09 16:22:10,
"5 /
 4 Burke Footway
Davisbury, ACT, 2663",2019-06-09 16:22:10,7cf93811-629c-49d2-b149-88447dccaa01,1,Retirement Living,975000,18,3,6,New,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,2019-06-09 16:22:10,
"878 Chapman Highroad
Karenberg, NSW, 2617",2019-06-09 16:22:10,131de034-2aae-4bd5-adbe-004f515f82c4,1,Acreage,670000,19,17,5,New,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,2019-06-09 16:22:10,
"54 /
 0 Small Top
East Diane, NT, 2470",2019-06-09 16:22:10,3e61afdd-15f1-4388-8ae5-9e09d444659c,1,Block Of Units,70000,17,4,8,Established,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,2019-06-09 16:22:10,
"6 Melissa Distributor
Stewartview, VIC, 2978",2019-06-09 16:22:10,dca24b05-de0d-4fab-861a-d7a10ec20561,1,Block Of Units,160000,17,4,6,Established,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,2019-06-09 16:22:10,
"32 Christopher Break
Port Ashleyborough, NT, 2665",2019-06-09 16:22:10,f08c0d9e-d95f-47fb-ad2b-48c7ceab5ba1,1,Retirement Living,270000,16,9,1,Established,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,2019-06-09 16:22:10,
"Suite 562
 602 April Glade
Harttown, WA, 2911",2019-06-09 16:22:10,2adc8898-072c-4720-b84e-89dd0810507e,1,Apartment_Unit,755000,4,2,9,Established,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2019-06-09 16:22:10,
"3 Cynthia Break
New Scottport, TAS, 0814",2019-06-09 16:22:10,78c297f4-18c8-49b7-981c-071b0361c624,1,Acreage,365000,7,5,6,New,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2019-06-09 16:22:10,
"Unit 66
 81 Martinez Dell
South Amy, WA, 2960",2019-06-09 16:22:10,dce46f76-4404-4aad-86ac-8a715cd581f6,1,Townhouse,930000,9,16,9,Established,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,2019-06-09 16:22:10,
"519 /
 072 Shelly Mount
Port Meganmouth, NT, 2214",2019-06-09 16:22:10,3c144931-f92d-4c21-9be7-40da773c9cd6,1,Land,330000,17,16,2,Established,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,2019-06-09 16:22:10,
"44 /
 877 Tammy Quadrangle
Jessicabury, SA, 2972",2019-06-09 16:22:10,02a7ff99-53ca-476a-b171-875103721f3f,1,House,665000,4,4,8,New,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,2019-06-09 16:22:10,
"574 Gallegos Wade
Lake Joshua, NSW, 0243",2019-06-09 16:22:10,1dda2f88-87aa-4bc4-aa47-d342cb24596f,1,Apartment_Unit,150000,16,4,2,Established,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,2019-06-09 16:22:10,
"5 Jones Concourse
New Kenneth, SA, 0268",2019-06-09 16:22:10,b53e9438-7065-456f-a0d2-acbd5e471631,1,Rural,590000,17,2,5,New,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,1,1,0,1,1,1,0,1,0,2019-06-09 16:22:10,
"Apt. 361
 578 Brown Rest
Knightmouth, TAS, 2159",2019-06-09 16:22:10,3f2d7662-7525-485c-bc95-e349160841b9,1,Block Of Units,590000,16,3,3,New,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,2019-06-09 16:22:10,
"047 Johnson Courtyard
North Andrew, TAS, 2694",2019-06-09 16:22:10,3d3959e3-5121-4fa7-a222-98c25a1dc9a6,1,Rural,250000,5,19,2,New,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,2019-06-09 16:22:10,
"478 /
 089 Eric Vista
North Anthonymouth, WA, 2288",2019-06-09 16:22:10,13f3d235-102b-4bbb-86a4-7cbf6821f487,1,House,700000,14,18,4,New,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,1,2019-06-09 16:22:10,
"8 /
 1 Pena Quad
Lake Andrewberg, ACT, 2619",2019-06-09 16:22:10,6c178c3a-4ac7-4a89-ae03-302896be5c8b,1,Townhouse,375000,2,17,6,New,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1,0,1,2019-06-09 16:22:10,
"941 /
 79 Moore Ramp
Brianfort, NSW, 4471",2019-06-09 16:22:10,16a16aea-8093-4cb1-b1a4-66a1c958f92b,1,Villa,645000,18,13,9,New,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,2019-06-09 16:22:10,
"Level 8
 98 Thompson Wade
Charlesberg, NT, 2920",2019-06-09 16:22:10,3f48ca6f-55f9-40ad-8b66-c85963bad74a,1,Retirement Living,740000,7,5,6,Established,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,1,2019-06-09 16:22:10,
"Suite 396
 44 Angela Boulevard
Melanieberg, ACT, 2626",2019-06-09 16:22:10,58c386b7-f2c5-41e1-8030-d5e50711fe00,1,House,645000,13,1,8,New,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,0,1,0,2019-06-09 16:22:10,
"46 Mathew Tollway
Basstown, TAS, 2916",2019-06-09 16:22:10,1a19cd7d-0e6f-4013-aed8-04f8de3cc3b3,1,Retirement Living,785000,11,7,1,Established,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,2019-06-09 16:22:10,
"Flat 89
 331 Sydney Brow
Williamsbury, TAS, 2905",2019-06-09 16:22:10,a8c845a1-d5d1-42b7-8b5b-68043be95728,1,Villa,865000,18,7,4,Established,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,1,2019-06-09 16:22:10,
"087 Amber Viaduct
St. Allisonland, SA, 9163",2019-06-09 16:22:10,b1cbec66-0900-4ffa-b261-b83d5710ba1d,1,House,460000,19,5,7,Established,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,1,2019-06-09 16:22:10,
"Suite 850
 780 Mathew Hill
Tylerview, ACT, 2961",2019-06-09 16:22:10,4d633225-7483-4c2a-8982-b6e58d4f2244,1,Acreage,245000,2,14,3,Established,1,0,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,2019-06-09 16:22:10,
"14 /
 72 Thomas Hill
Lake Georgeport, NT, 2758",2019-06-09 16:22:10,96005db0-6691-443a-b073-2633ea759991,1,Villa,905000,15,11,1,Established,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,2019-06-09 16:22:10,
"Suite 896
 7 King Glen
Allenmouth, QLD, 2432",2019-06-09 16:22:10,42c3b868-d904-4097-902f-b83af03d2eb9,1,Townhouse,210000,1,8,7,Established,0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,2019-06-09 16:22:10,
"4 Daniel Ridge
Port Kyle, SA, 2920",2019-06-09 16:22:10,dcbce954-ce77-4628-9429-7a98d7997666,1,Rural,315000,1,6,2,Established,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,0,2019-06-09 16:22:10,
"Unit 97
 3 Taylor Service Way
West Taylor, NT, 2237",2019-06-09 16:22:10,38aa7ead-b1a2-41bf-a740-54b12c9765e5,1,Rural,545000,14,16,7,New,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,2019-06-09 16:22:10,
"557 John Deviation
North Amy, ACT, 3998",2019-06-09 16:22:10,0bcb4236-98dd-4ff5-8756-fe88f4c6f358,1,Acreage,930000,17,3,6,New,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,2019-06-09 16:22:10,
"9 /
 04 Taylor Broadway
East Lisaburgh, WA, 2850",2019-06-09 16:22:10,f774640b-ea4d-41d1-a411-5ab65696230b,1,Acreage,700000,12,8,2,Established,0,1,1,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,1,0,2019-06-09 16:22:10,
"705 Carr Vale
East Laurenmouth, WA, 0973",2019-06-09 16:22:10,15ea8bb0-1c28-4901-a578-3164d2628205,1,Townhouse,430000,17,2,1,Established,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,2019-06-09 16:22:10,
"84 Andrea Square
Angelaburgh, ACT, 2925",2019-06-09 16:22:10,bbaa3acb-9e51-474b-b0ba-fcc4c7b2bc2b,1,Block Of Units,70000,15,1,2,New,1,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,2019-06-09 16:22:10,
"58 Brown Expressway
East Brian, WA, 0810",2019-06-09 16:22:10,ea8523b1-b5f0-4dc7-ab99-29b5d9ae6f98,1,Acreage,225000,13,8,5,Established,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2019-06-09 16:22:10,
"70 Andrew Park
Richmouth, WA, 0987",2019-06-09 16:22:10,a78802cc-f8f8-446a-8019-213739c5341f,1,Land,860000,16,14,3,New,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,2019-06-09 16:22:10,
"7 Sabrina Cross
North Samanthamouth, TAS, 2696",2019-06-09 16:22:10,1bcebd79-8288-44f2-97ae-cd0f61f312f3,1,Rural,220000,12,3,3,New,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,2019-06-09 16:22:10,
"Flat 66
 87 Gonzales Gate
New Vanessachester, QLD, 2938",2019-06-09 16:22:10,04ef0f62-4e5f-41b8-b4a1-5ed6e8300b2f,1,Apartment_Unit,625000,15,15,8,Established,0,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,2019-06-09 16:22:10,
"72 Molly Gardens
Alvaradoberg, ACT, 2411",2019-06-09 16:22:10,8e95d9e1-3852-41e0-96a6-2d4eb2b50116,1,Land,510000,6,2,8,New,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,2019-06-09 16:22:10,
"Level 5
 10 Gardner Service Way
Michaeltown, SA, 2619",2019-06-09 16:22:10,bd4094a1-cd34-4f3b-a7c7-fa627981309c,1,Apartment_Unit,940000,15,15,8,New,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2019-06-09 16:22:10,
"649 Riley Esplanade
Ivanborough, TAS, 0870",2019-06-09 16:22:10,43c9623a-f6b4-43f2-9f97-c6dd22497415,1,Townhouse,610000,4,18,8,Established,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,2019-06-09 16:22:10,
"46 /
 8 Raymond Gates
Henryside, WA, 2916",2019-06-09 16:22:10,f23b6a4b-bc96-4c96-a6c0-465d1421ed3e,1,Apartment_Unit,710000,1,3,5,Established,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,2019-06-09 16:22:10,
"491 /
 0 Rojas Thoroughfare
New Dianaton, VIC, 2960",2019-06-09 16:22:10,4538b7bb-5ba4-4864-9c0b-fa4e547fcd04,1,Block Of Units,895000,3,13,7,New,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,2019-06-09 16:22:10,
"09 /
 457 Derek Path
New Martin, WA, 2978",2019-06-09 16:22:10,12357ebf-6b5f-44dc-95f9-0c4233581d2a,1,Villa,310000,2,6,5,Established,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,2019-06-09 16:22:10,
"8 Douglas Retreat
Lake Martinville, NSW, 3470",2019-06-09 16:22:10,050050a4-01ca-49c4-80db-d226ac022dea,1,House,705000,2,10,5,New,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,2019-06-09 16:22:10,
"849 Green Top
New Elizabethhaven, QLD, 2976",2019-06-09 16:22:10,ceb23ecb-5ef1-400a-9f6a-0203bef06b60,1,Rural,205000,9,13,4,New,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,2019-06-09 16:22:10,
"Apt. 276
 296 Phillip Concourse
Port Kathleenmouth, NSW, 2619",2019-06-09 16:22:10,bdb4377e-3c27-4149-b42c-a4b1b7cd42dd,1,Rural,545000,17,1,7,New,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,2019-06-09 16:22:10,
"1 Bruce Flat
Port Victoriaberg, QLD, 2608",2019-06-09 16:22:10,55e600b2-639c-4a3c-a911-a610ab2ec43b,1,Land,440000,15,6,1,New,0,1,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,0,0,2019-06-09 16:22:10,
"4 Maldonado Circlet
Huffmanview, NSW, 2989",2019-06-09 16:22:10,398775bf-25e4-4a6f-a939-4879f4cf0a23,1,Block Of Units,310000,16,4,6,Established,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,2019-06-09 16:22:10,
"06 Kimberly Circle
Melissachester, TAS, 2608",2019-06-09 16:22:10,3516fffd-47f5-4065-9022-0090ec903835,1,Land,970000,19,19,5,New,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,2019-06-09 16:22:10,
"402 Saunders Crossway
East Stevenville, NT, 2955",2019-06-09 16:22:10,8dfb6c15-554f-4498-a084-f22978355cf7,1,Apartment_Unit,610000,13,13,8,Established,0,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,2019-06-09 16:22:10,
"6 Horton Round
New Ashleybury, NT, 2977",2019-06-09 16:22:10,a140889a-6846-4243-821b-7dffeb93eeb9,1,Rural,595000,2,9,5,New,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,1,2019-06-09 16:22:10,
"9 Lauren Heights
Angelafort, SA, 2674",2019-06-09 16:22:10,8c2129eb-b6b0-4019-be25-34e0d1fe12d3,1,Acreage,895000,12,19,4,New,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,2019-06-09 16:22:10,
"Apt. 238
 399 David Dip
Port Summer, WA, 2927",2019-06-09 16:22:10,8d9cc646-0162-4c5e-b281-3f305da04965,1,House,755000,3,6,8,New,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,1,0,1,2019-06-09 16:22:10,
"314 Laura Terrace
Walkerborough, WA, 2919",2019-06-09 16:22:10,d614c332-59ed-405e-9710-6597bcc373d3,1,Retirement Living,670000,19,5,5,Established,1,0,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,2019-06-09 16:22:10,
"Level 5
 26 Goodwin Deviation
East Micheleview, WA, 0827",2019-06-09 16:22:10,bdc18e56-7b31-44f7-851d-47ffaba76bac,1,Townhouse,685000,10,2,9,Established,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,2019-06-09 16:22:10,
"99 /
 0 Baldwin Bridge
East Andrew, SA, 2939",2019-06-09 16:22:10,fb0e24d7-361f-48b0-ab07-bb0584b07887,1,Villa,590000,12,8,1,Established,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,2019-06-09 16:22:10,
"Unit 13
 575 Jeffrey Pass
Port Jennaport, WA, 2642",2019-06-09 16:22:10,02937700-2970-460a-9439-39f1ee52b2bb,1,Retirement Living,815000,2,16,9,Established,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,2019-06-09 16:22:10,
"32 /
 25 Campbell Trail
North Tylerchester, WA, 2555",2019-06-09 16:22:10,bc9dccfc-39e5-47a8-b21a-2bc20f32a5a6,1,Land,680000,4,12,4,Established,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,2019-06-09 16:22:10,
"Apt. 996
 8 Michael Distributor
West Maria, NSW, 2999",2019-06-09 16:22:10,bab74e23-9907-4a4a-bb8f-8806d7c34e2d,1,House,800000,10,15,5,New,1,1,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,2019-06-09 16:22:10,
"6 Allen Tollway
Waynestad, QLD, 9485",2019-06-09 16:22:10,f2ae64d7-0aa2-4b7b-8429-0c8eff810bbc,1,Villa,690000,17,17,1,New,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,2019-06-09 16:22:10,
"66 Audrey Row
St. Carl, WA, 2619",2019-06-09 16:22:10,dd8b5d39-ad5b-4933-97bb-9ae7e66f3189,1,Land,520000,8,8,9,Established,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,2019-06-09 16:22:10,
"48 Martin Way
Cohenburgh, WA, 2335",2019-06-09 16:22:10,bff0f187-770b-4053-b696-fec72bf6bf98,1,Block Of Units,210000,19,19,3,New,1,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,1,2019-06-09 16:22:10,
"473 Mills Terrace
Ashleyfurt, WA, 2988",2019-06-09 16:22:10,4060a9e7-a90c-463a-abbe-db063cc46cd3,1,House,775000,8,10,7,Established,0,1,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,1,2019-06-09 16:22:10,
"Unit 67
 5 Mark Ronde
New Ericachester, WA, 7984",2019-06-09 16:22:10,1fa9c230-4f8f-437c-bc2b-cead8460328b,1,Block Of Units,650000,3,4,4,New,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,2019-06-09 16:22:10,
"264 Maurice Tarn
West Rachel, ACT, 2655",2019-06-09 16:22:10,171585a0-11b5-4383-aab5-73fcddcad9f1,1,House,350000,16,8,6,Established,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1,2019-06-09 16:22:10,
"90 Lucero Causeway
Myersborough, VIC, 2200",2019-06-09 16:22:10,42c2209a-9c75-44fd-80d9-b344283baf87,1,Land,480000,2,18,1,Established,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,2019-06-09 16:22:10,
"46 Kevin Ride
Port Nathanbury, SA, 2494",2019-06-09 16:22:10,01d6009c-2ba1-447c-b412-956a80e4e3db,1,Rural,225000,15,12,4,New,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,2019-06-09 16:22:10,
"Level 6
 6 Stephanie Ramble
Montesborough, ACT, 0960",2019-06-09 16:22:10,4d5b45e1-811a-4991-9a16-1057e0a3c875,1,Apartment_Unit,290000,5,2,7,Established,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,1,2019-06-09 16:22:10,
"47 Clay Estate
East Thomas, ACT, 2974",2019-06-09 16:22:10,cab7baf1-5874-4832-a99f-61762bf845f4,1,House,305000,19,16,8,New,0,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,2019-06-09 16:22:10,
"Flat 09
 83 Justin Right Of Way
New John, NT, 2324",2019-06-09 16:22:10,773acf04-07c2-4f45-8a7d-5739eb290479,1,Land,780000,15,16,3,New,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,0,2019-06-09 16:22:10,
"024 Jason Footway
Port Randyland, TAS, 0995",2019-06-09 16:22:10,2c98a30d-e952-4bbd-aed1-50ad9d6cff1b,1,Villa,325000,14,10,8,Established,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,2019-06-09 16:22:10,
"Suite 531
 525 Pamela Crest
West David, NT, 2770",2019-06-09 16:22:10,a3c59419-d95c-4823-959b-fd28b558258e,1,Acreage,985000,15,5,5,Established,1,0,0,1,0,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,1,1,2019-06-09 16:22:10,
"Suite 765
 262 John Part
Smithmouth, VIC, 6402",2019-06-09 16:22:10,f92aee3c-ad44-4579-aaf8-276c9294cf09,1,Acreage,710000,9,14,5,New,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,2019-06-09 16:22:10,
"Flat 20
 301 Jonathan Ronde
West Steven, VIC, 5778",2019-06-09 16:22:10,ced25884-0b2a-4617-b5a7-7008f522539b,1,Land,980000,1,6,2,New,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0,1,2019-06-09 16:22:10,
"06 Knight Crossway
Hollybury, SA, 2611",2019-06-09 16:22:10,2a29b229-7f1d-4b68-803d-442d60088bdd,1,Block Of Units,295000,19,17,9,New,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,1,0,2019-06-09 16:22:10,
"0 Jessica Gap
New Michael, TAS, 2154",2019-06-09 16:22:10,418e039d-831b-45d0-ba31-e491024868b9,1,Rural,180000,5,5,1,Established,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0,1,0,2019-06-09 16:22:10,
"Level 6
 3 Bailey Quadrangle
Alexanderburgh, NT, 6850",2019-06-09 16:22:10,fd4478b6-05cc-4f06-b9c2-f817262fd2fa,1,Townhouse,255000,11,4,7,Established,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,2019-06-09 16:22:10,
"Apt. 143
 053 Whitney Entrance
Port Courtney, TAS, 2969",2019-06-09 16:22:10,6771079c-a19d-4daf-b5e1-ed61b1a95f19,1,House,695000,9,3,2,Established,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,2019-06-09 16:22:10,
"2 /
 755 Ethan Alleyway
Terriview, TAS, 2611",2019-06-09 16:22:10,2f282a71-9849-45f7-bacd-56b87b0affe3,1,Block Of Units,685000,7,10,9,New,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,2019-06-09 16:22:10,
